BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
19-197_neg_A_c541.region001	c_000000000541	c_000000000541	cyanobactin	RiPPs		
19-197_neg_A_c595.region001	c_000000000595	c_000000000595	lanthipeptide-class-v	RiPPs		
19-251_neg_A_c1783.region001	c_000000001783	c_000000001783	microviridin	RiPPs		
19-251_neg_A_c3459.region001	c_000000003459	c_000000003459	cyanobactin	RiPPs		
19-251_neg_A_c5136.region001	c_000000005136	c_000000005136	RRE-containing	RiPPs		
19-251_neg_A_c5215.region001	c_000000005215	c_000000005215	spliceotide	RiPPs		
19-251_neg_A_c5925.region001	c_000000005925	c_000000005925	cyanobactin	RiPPs		
19-251_neg_A_c6232.region001	c_000000006232	c_000000006232	microviridin	RiPPs		
19-282_neg_A_c1466.region001	c_000000001466	c_000000001466	lanthipeptide-class-ii	RiPPs		
19-282_neg_A_c1946.region001	c_000000001946	c_000000001946	RRE-containing	RiPPs		
19-282_neg_A_c2155.region001	c_000000002155	c_000000002155	cyanobactin	RiPPs		
19-282_neg_A_c2506.region001	c_000000002506	c_000000002506	RRE-containing	RiPPs		
19-282_neg_A_c2888.region001	c_000000002888	c_000000002888	microviridin	RiPPs		
19-282_neg_A_c2894.region001	c_000000002894	c_000000002894	cyanobactin	RiPPs		
19-282_neg_A_c3084.region001	c_000000003084	c_000000003084	cyanobactin	RiPPs		
19-338_neg_A_c1587.region001	c_000000001587	c_000000001587	cyanobactin	RiPPs		
19-338_neg_A_c1846.region001	c_000000001846	c_000000001846	RRE-containing	RiPPs		
19-338_neg_A_c2124.region001	c_000000002124	c_000000002124	RiPP-like	RiPPs		
19-338_neg_A_c4483.region001	c_000000004483	c_000000004483	spliceotide	RiPPs		
19-388_neg_A_c1213.region001	c_000000001213	c_000000001213	NRPS.microviridin	Others		
19-388_neg_A_c1386.region001	c_000000001386	c_000000001386	lanthipeptide-class-v	RiPPs		
19-388_neg_A_c1462.region001	c_000000001462	c_000000001462	RRE-containing	RiPPs		
19-388_neg_A_c1637.region001	c_000000001637	c_000000001637	RiPP-like	RiPPs		
19-388_neg_A_c261.region001	c_000000000261	c_000000000261	cyanobactin	RiPPs		
19-388_neg_A_c737.region001	c_000000000737	c_000000000737	spliceotide	RiPPs		
19-41.2_neg_A_c1009.region001	c_000000001009	c_000000001009	RRE-containing	RiPPs		
19-41.2_neg_A_c1846.region001	c_000000001846	c_000000001846	RRE-containing	RiPPs		
19-41.2_neg_A_c635.region001	c_000000000635	c_000000000635	lanthipeptide-class-ii	RiPPs		
19-41.2_neg_A_c831.region001	c_000000000831	c_000000000831	cyanobactin	RiPPs		
19-55_neg_A_c386.region001	c_000000000386	c_000000000386	RRE-containing	RiPPs		
19-55_neg_A_c505.region001	c_000000000505	c_000000000505	cyanobactin	RiPPs		
19-55_neg_A_c554.region001	c_000000000554	c_000000000554	RRE-containing	RiPPs		
19-55_neg_A_c661.region001	c_000000000661	c_000000000661	lanthipeptide-class-v	RiPPs		
19-84_neg_A_c125.region001	c_000000000125	c_000000000125	cyanobactin	RiPPs		
19-84_neg_A_c275.region001	c_000000000275	c_000000000275	RRE-containing	RiPPs		
19-84_neg_A_c590.region001	c_000000000590	c_000000000590	cyanobactin	RiPPs		
19-84_neg_A_c731.region001	c_000000000731	c_000000000731	spliceotide	RiPPs		
19-84_neg_A_c777.region001	c_000000000777	c_000000000777	cyanobactin	RiPPs		
19-8_neg_A_c3189.region001	c_000000003189	c_000000003189	T1PKS.RRE-containing	Others		
19-8_neg_A_c5369.region001	c_000000005369	c_000000005369	proteusin	RiPPs		
19-8_neg_A_c5764.region001	c_000000005764	c_000000005764	cyanobactin	RiPPs		
19-8_neg_A_c5910.region001	c_000000005910	c_000000005910	RRE-containing	RiPPs		
19-8_neg_A_c7468.region001	c_000000007468	c_000000007468	RiPP-like	RiPPs		
19-98_neg_A_c1015.region001	c_000000001015	c_000000001015	RRE-containing	RiPPs		
19-98_neg_A_c2675.region001	c_000000002675	c_000000002675	NRPS-like.microviridin	Others		
19-98_neg_A_c2852.region001	c_000000002852	c_000000002852	RRE-containing	RiPPs		
19-98_neg_A_c2871.region001	c_000000002871	c_000000002871	lanthipeptide-class-v	RiPPs		
19-98_neg_A_c3158.region001	c_000000003158	c_000000003158	cyanobactin	RiPPs		
BGC0000175.1	BGC0000175.1	Streptomyces sp. YIM 56141 hypothetical protein genes, complete cds; cycloheximide biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	lanthipeptide.NRPS-like.transAT-PKS	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000385.1	BGC0000385.1	Lysobacter sp. ATCC 53042 lysobactin biosynthetic gene cluster, complete sequence	lanthipeptide.NRPS.transAT-PKS-like	Others	Lysobacter sp. ATCC 53042	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
BGC0000468.1	BGC0000468.1	Streptomyces bottropensis bottromycin biosynthesis gene cluster, complete sequence, strain DSM40262	bottromycin.bacteriocin	RiPPs	Streptomyces bottropensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000469.1	BGC0000469.1	Streptomyces sp. BC16019 hypothetical protein genes, complete cds; bottromycin biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	bottromycin.bacteriocin	RiPPs	Streptomyces sp. BC16019	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000470.1	BGC0000470.1	Streptomyces sp. WMMB 272 bottromycin D gene cluster, partial sequence	bottromycin.bacteriocin	RiPPs	Streptomyces sp. WMMB 272	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000471.1	BGC0000471.1	Oscillatoria nigro-viridis PCC 7112 chromosome, complete genome	LAP.cyanobactin.bacteriocin	RiPPs	Oscillatoria nigro-viridis PCC 7112	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Oscillatoria
BGC0000472.1	BGC0000472.1	Anabaena sp. 90 signal recognition particle protein SRP gene, complete cds; anacyclamide biosynthetic gene cluster, complete sequence; 30S ribosomal protein S16, and hypothetical protein genes, complete cds	cyanobactin	RiPPs	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena
BGC0000473.1	BGC0000473.1	Microcystis aeruginosa NIES-298 microcyclamide biosynthetic gene cluster, strain NIES-298	LAP.cyanobactin.bacteriocin	RiPPs	Microcystis aeruginosa NIES-298	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000474.1	BGC0000474.1	Microcystis aeruginosa PCC 7806 microcyclamide biosynthetic gene cluster, strain PCC 7806	LAP.cyanobactin.bacteriocin	RiPPs	Microcystis aeruginosa PCC 7806	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000475.1	BGC0000475.1	Prochloron didemni subtilisin-like protein (patA), PatB (patB), PatC (patC), adenylation/heterocyclization protein (patD), patellamide precursor protein (patE), PatF (patF), thiazoline oxidase/subtilisin-like protease (patG), and deoxyribopyrimidine photolyase genes, complete cds	LAP.cyanobactin.bacteriocin	RiPPs	Prochloron didemni	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron
BGC0000476.1	BGC0000476.1	Uncultured Prochloron sp. clone E5 patellamide precursor protein (patE) gene, complete cds	bacteriocin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron,environmental samples
BGC0000477.1	BGC0000477.1	Uncultured Prochloron sp. 06037A TruA (truA), TruB (truB), TruC (truC), TruD (truD), TruE1 (truE1), TruF1 (truF1), and TruF2 (truF2) genes, complete cds; and TruG (truG) gene, partial cds	cyanobactin.bacteriocin	RiPPs	uncultured Prochloron sp. 06037A	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron,environmental samples
BGC0000478.1	BGC0000478.1	Uncultured Prochloron sp. TruE2 (truE2) gene, complete cds	bacteriocin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron,environmental samples
BGC0000479.1	BGC0000479.1	Planktothrix agardhii NIES-596 prenylagaramide gene cluster, complete sequence	cyanobactin	RiPPs	Planktothrix agardhii NIES-596	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000480.1	BGC0000480.1	Nostoc spongiaeforme var. tenue str. Carmeli TenA (tenA), TenB (tenB), TenC (tenC), TenD (tenD), TenE (tenE), and TenF (tenF) genes, complete cds; and TenG (tenG) gene, partial cds	LAP.cyanobactin.bacteriocin	RiPPs	Nostoc spongiaeforme var. tenue str. Carmeli	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0000481.1	BGC0000481.1	Trichodesmium erythraeum IMS101 ctg418, whole genome shotgun sequence	LAP.cyanobactin	RiPPs	Trichodesmium erythraeum IMS101	Bacteria,Cyanobacteria,Oscillatoriales,Trichodesmium
BGC0000482.1	BGC0000482.1	Uncultured Prochloron sp. TruE3 (truE3) gene, complete cds	bacteriocin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron,environmental samples
BGC0000483.1	BGC0000483.1	Microcystis aeruginosa 9432 WGS project CAIH01000000 data, contig AAI_A_2195_263, whole genome shotgun sequence	LAP.cyanobactin	RiPPs	Microcystis aeruginosa PCC 9432	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000484.1	BGC0000484.1	Lactobacillus plantarum strain KW30 hypothetical protein (gccI), hypothetical protein (gccH), UDP-GlcNAc glycosyltransferase family 2 (gccA), bacteriocin ABC transporter of glycocin F (gccB), hypothetical protein (gccC), hypothetical protein (gccD), putative LytTR response regulator (gccE), and prebacteriocin glycocin F (gccF) genes, complete cds	glycocin	RiPPs	Lactobacillus plantarum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000485.1	BGC0000485.1	L.acidophilus acdB gene for acidocin B	bacteriocin	RiPPs	Lactobacillus acidophilus	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000486.1	BGC0000486.1	Butyrivibrio fibrisolvens response regulator-like protein and histidine kinase-like protein genes, complete cds; butyrivibriocin AR10 operon, complete sequence; and unknown gene	bacteriocin	RiPPs	Butyrivibrio fibrisolvens	Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
BGC0000487.1	BGC0000487.1	Carnobacterium maltaromaticum strain UAL307 hypothetical proteins, CclB (cclB), CclI (cclI), CclT (cclT), CclC (cclC), CclD (cclD), carnocyclin A precursor (cclA), CclE (cclE), CclF (cclF), CclG (cclG), CclH (cclH), hypothetical proteins, and TrxA (trxA) genes, complete cds	bacteriocin	RiPPs	Carnobacterium maltaromaticum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
BGC0000488.1	BGC0000488.1	Clostridium beijerinckii cfgR gene, cfgK gene, cfg02 gene, cfg01 gene, cirA gene, cirB gene, cirC gene, cirD gene, cirE gene, cirG gene, cirH gene and cirI gene, genomic RNA, strain ATCC 25752	bacteriocin	RiPPs	Clostridium beijerinckii	Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
BGC0000489.1	BGC0000489.1	E.faecalis plasmid DNA containing gene cluster involved in production and immunity to peptide antibiotic AS-48	bacteriocin	RiPPs	Enterococcus faecalis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
BGC0000490.1	BGC0000490.1	Lactococcus garvieae DCC43 contig_1, whole genome shotgun sequence	bacteriocin	RiPPs	Lactococcus garvieae DCC43	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000491.1	BGC0000491.1	Lactobacillus gasseri gaaB, gaaC, gaaA, gaaD, gaaI, gaaT, gaaE genes, complete cds	bacteriocin	RiPPs	Lactobacillus gasseri	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000494.1	BGC0000494.1	Streptococcus uberis PurH-like protein, possible orphan response regulator, UblA (ublA), UblB (ublB), UblC (ublC), UblD (ublD), and UblE (ublE) genes, complete cds	bacteriocin	RiPPs	Streptococcus uberis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000495.1	BGC0000495.1	Actinoplanes garbadinensis strain ATCC 31049 actagardine biosynthesis gene cluster, partial sequence	lanthipeptide	RiPPs	Actinoplanes garbadinensis	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
BGC0000496.1	BGC0000496.1	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome	lanthipeptide	RiPPs	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000497.1	BGC0000497.1	Streptococcus ratti two-component lantibiotic gene locus, complete sequence	lanthipeptide	RiPPs	Streptococcus ratti	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000498.1	BGC0000498.1	Streptococcus equinus strain HJ50 bovicin biosynthesis gene cluster, partial sequence	lanthipeptide	RiPPs	Streptococcus equinus	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000499.1	BGC0000499.1	Butyrivibrio fibrisolvens butyrivibriocin OR79 (bvi79) gene, complete cds; and unknown genes	lanthipeptide	RiPPs	Butyrivibrio fibrisolvens	Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
BGC0000500.1	BGC0000500.1	Carnobacterium maltaromaticum strain C2 CrnM (crnM), CrnA1 (crnA1), CrnJ (crnJ), CrnT (crnT), CrnP (crnP), CrnA2 (crnA2), and CrnY (crnY) genes, complete cds	lanthipeptide	RiPPs	Carnobacterium maltaromaticum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
BGC0000501.1	BGC0000501.1	Catenulispora acidiphila DSM 44928 chromosome, complete genome	lanthipeptide	RiPPs	Catenulispora acidiphila DSM 44928	Bacteria,Actinobacteria,Catenulisporales,Catenulisporaceae,Catenulispora
BGC0000502.1	BGC0000502.1	Bacillus cereus strain As1.1846 cerecidin biosynthesis gene cluster, complete sequence	lanthipeptide	RiPPs	Bacillus cereus	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group
BGC0000503.1	BGC0000503.1	Streptomyces cinnamoneus cinnamycin biosynthetic cluster	lanthipeptide	RiPPs	Streptomyces cinnamoneus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces cinnamoneus group
BGC0000504.1	BGC0000504.1	Plasmid pAD1 (from Enterococcus faecalis) cylLl, cylLs, cylM, clyB, cylA genes, complete cds	lanthipeptide	RiPPs	Plasmid pAD1	other sequences,plasmids
BGC0000506.1	BGC0000506.1	Bacillus subtilis subsp. spizizenii DSM:15029 entianin gene cluster, partial sequence	lanthipeptide	RiPPs	Bacillus subtilis subsp. spizizenii	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000507.1	BGC0000507.1	Staphyloccus epidermidis epicidin 280 gene cluster on pCH01	lanthipeptide	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000508.1	BGC0000508.1	S.epidermidis genes epiY', epiY, epiA, epiB, epiC, epiD, epiQ, epiP	lanthipeptide	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000509.1	BGC0000509.1	Staphylococcus epidermidis Orf1, ElxO (elxO), ElxT (elxT), ElxA (elxA), ElxP (elxP), ElxB (elxB), ElxC (elxC), Elx1 (Elx1), Elx2 (elx2), Elx3 (elx3), and OrdA (orfA) genes, complete cds	lanthipeptide	RiPPs	Staphylococcus epidermidis	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000511.1	BGC0000511.1	Bacillus subtilis subtilin-like gene cluster, complete sequence	lanthipeptide	RiPPs	Bacillus subtilis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000514.1	BGC0000514.1	Staphylococcus gallinarum gallidermin gene cluster, complete sequence	lanthipeptide	RiPPs	Staphylococcus gallinarum	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000515.1	BGC0000515.1	Geobacillus thermodenitrificans NG80-2, complete genome	lanthipeptide	RiPPs	Geobacillus thermodenitrificans NG80-2	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
BGC0000516.1	BGC0000516.1	Geobacillus thermodenitrificans strain G11MC16 ctg51, whole genome shotgun sequence	lanthipeptide	RiPPs	Geobacillus thermodenitrificans	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
BGC0000517.1	BGC0000517.1	Bacillus halodurans C-125 DNA, complete genome	lanthipeptide	RiPPs	Bacillus halodurans C-125	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000518.1	BGC0000518.1	Streptomyces viridochromogenes DSM 40736 genomic scaffold supercont1.1, whole genome shotgun sequence	lanthipeptide.bacteriocin	RiPPs	Streptomyces viridochromogenes DSM 40736	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000519.1	BGC0000519.1	Actinomadura namibiensis labyrinthopeptin biosynthetic gene cluster	lanthipeptide	RiPPs	Actinomadura namibiensis	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000521.1	BGC0000521.1	Lactococcus lactis subsp. lactis plasmid pES2 transposon Tn5721 and lacticin 481 operon, complete sequence; and unknown genes	lanthipeptide	RiPPs	Lactococcus lactis subsp. lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000522.1	BGC0000522.1	Lactococcus lactis genes for hypothetical protein, putative transcriptional regulator, lacticin Z, membrane proteins, ABC-2 type transporter, ATP-binding protein, prophage ps1 protein 16 and 15, complete cds, strain: QU 14	bacteriocin	RiPPs	Lactococcus lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000523.1	BGC0000523.1	Lactobacillus sakei ORF78 (partial), ORF116, ORF130 (partial), ORF84 (partial), tnp1519L gene, tnp1516delC gene, tnp1516delN gene (partial), lasY gene, lasX gene, lasA gene, lasM gene, lasN gene, lasT gene, lasU gene, lasV gene, lasP gene, lasJ gene, lasW gene and tnp1519R gene	lanthipeptide	RiPPs	Lactobacillus sakei	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0000525.1	BGC0000525.1	Bacillus licheniformis strain VK21 lantibiotic gene cluster, complete sequence	lanthipeptide	RiPPs	Bacillus licheniformis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000526.1	BGC0000526.1	Streptococcus macedonicus strain ACA-DC 198 putative relaxase gene, complete cds; macedocin gene cluster, complete sequence; McdK (mcdK), McdR (mcdR), and hypothetical protein genes, complete cds; and hypothetical protein gene, partial cds	lanthipeptide	RiPPs	Streptococcus macedonicus	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000527.1	BGC0000527.1	Bacillus sp. HIL-Y85/54728 mersacidin biosynthesis gene cluster (mrsK2, mrsR2, mrsF, mrsG, mrsE, mrsA, mrsR1, mrsD, mrsM and mrsT genes)	lanthipeptide	RiPPs	Bacillus sp. HIL-Y85/54728	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0000528.1	BGC0000528.1	Clavibacter michiganensis subsp. michiganensis NCPPB 382 complete genome	lanthipeptide	RiPPs	Clavibacter michiganensis subsp. michiganensis NCPPB 382	Bacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter
BGC0000529.1	BGC0000529.1	Microbispora corallina strain NRRL 30420 putative DNA-binding protein gene, complete cds; microbisporicin gene cluster, complete sequence; and hypothetical protein, pyrimidine reductase, hypothetical protein, oxidoreductase domain protein, glyoxalase/bleomycin resistance protein, esterase, putative xylanase, beta-1,4-xylanase, hypothetical proteins, secreted endo-1,4-beta-xylanase, and prephenate dehydratase genes, complete cds	lanthipeptide	RiPPs	Microbispora corallina	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Microbispora
BGC0000530.1	BGC0000530.1	Streptococcus mutans N66 contig14, whole genome shotgun sequence	lanthipeptide	RiPPs	Streptococcus mutans N66	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000531.1	BGC0000531.1	Streptococcus mutans mutacin I biosynthesis gene cluster, partial sequence	lanthipeptide	RiPPs	Streptococcus mutans	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000532.1	BGC0000532.1	Streptococcus mutans mutacin II (mutA) and mutM genes, complete cds	lanthipeptide	RiPPs	Streptococcus mutans	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000533.1	BGC0000533.1	Streptococcus mutans mutacin III biosynthetic gene locus, partial sequence	lanthipeptide	RiPPs	Streptococcus mutans	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000534.1	BGC0000534.1	Streptococcus mutans lantibiotic mutacin K8 gene locus, partial sequence	lanthipeptide	RiPPs	Streptococcus mutans	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000535.1	BGC0000535.1	Lactococcus lactis subsp. lactis nisin biosynthetic gene cluster, complete sequence	lanthipeptide	RiPPs	Lactococcus lactis subsp. lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000536.1	BGC0000536.1	Lactococcus lactis DNA, nisin Q gene cluster (nisQ, niqB,niqT,niqC,niqI,niqP,niqR,niqK,niqF,niqE,niqG), complete cds	lanthipeptide	RiPPs	Lactococcus lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000537.1	BGC0000537.1	Streptococcus uberis nisin U gene locus, complete sequence	lanthipeptide	RiPPs	Streptococcus uberis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0000538.1	BGC0000538.1	Lactococcus lactis nis genes	lanthipeptide	RiPPs	Lactococcus lactis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
BGC0000539.1	BGC0000539.1	Staphylococcus warneri genes for putative response regulator, NukA, NukM, NukT, NukF, NukE, NukG, NukH, putative plasmid replication-associated protein, putative plasmid replication-associated protein, replication protein, partial and complete cds	lanthipeptide	RiPPs	Staphylococcus warneri	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
