BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
19-12.2_neg_A_c767.region001	c_000000000767	c_000000000767	NRPS	NRPS		
19-12.2_neg_A_c853.region001	c_000000000853	c_000000000853	NRPS	NRPS		
19-13.4_neg_A_c2007.region001	c_000000002007	c_000000002007	NRPS	NRPS		
19-13.4_neg_A_c2442.region001	c_000000002442	c_000000002442	NRPS	NRPS		
19-13.4_neg_A_c2921.region001	c_000000002921	c_000000002921	NRPS-like.NRPS	NRPS		
19-13.4_neg_A_c3712.region001	c_000000003712	c_000000003712	NRPS-like	NRPS		
19-131_neg_A_c1393.region001	c_000000001393	c_000000001393	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-131_neg_A_c1494.region001	c_000000001494	c_000000001494	NRPS	NRPS		
19-131_neg_A_c1521.region001	c_000000001521	c_000000001521	T1PKS.NRPS	PKS-NRP_Hybrids		
19-131_neg_A_c428.region001	c_000000000428	c_000000000428	betalactone.NRPS-like.NRPS	Others		
19-131_neg_A_c676.region001	c_000000000676	c_000000000676	NRPS	NRPS		
19-195_neg_A_c1262.region001	c_000000001262	c_000000001262	NRPS-like.T3PKS.T1PKS	PKS-NRP_Hybrids		
19-196_neg_A_c11915.region001	c_000000011915	c_000000011915	NRPS	NRPS		
19-196_neg_A_c2147.region001	c_000000002147	c_000000002147	NRPS-like	NRPS		
19-196_neg_A_c219.region001	c_000000000219	c_000000000219	NRPS-like.T1PKS	PKS-NRP_Hybrids		
19-196_neg_A_c2284.region001	c_000000002284	c_000000002284	NRPS	NRPS		
19-196_neg_A_c2391.region001	c_000000002391	c_000000002391	NRPS	NRPS		
19-196_neg_A_c3365.region001	c_000000003365	c_000000003365	NRPS	NRPS		
19-196_neg_A_c6067.region001	c_000000006067	c_000000006067	NRPS-like	NRPS		
19-196_neg_A_c6104.region001	c_000000006104	c_000000006104	NRPS-like	NRPS		
19-196_neg_A_c7534.region001	c_000000007534	c_000000007534	T1PKS.NRPS	PKS-NRP_Hybrids		
19-196_neg_A_c8802.region001	c_000000008802	c_000000008802	NRPS-like	NRPS		
19-196_neg_A_c9711.region001	c_000000009711	c_000000009711	NRPS-like	NRPS		
19-196_neg_A_c_1198.region001	c_000000001198	c_000000001198	betalactone.NRPS	Others		
19-197_neg_A_c1283.region001	c_000000001283	c_000000001283	NRPS-like	NRPS		
19-197_neg_A_c1433.region001	c_000000001433	c_000000001433	NRPS.microviridin	Others		
19-197_neg_A_c165.region001	c_000000000165	c_000000000165	T1PKS.NRPS	PKS-NRP_Hybrids		
19-197_neg_A_c1661.region001	c_000000001661	c_000000001661	betalactone.NRPS	Others		
19-197_neg_A_c1710.region001	c_000000001710	c_000000001710	NRPS-like.T3PKS.T1PKS	PKS-NRP_Hybrids		
19-197_neg_A_c672.region001	c_000000000672	c_000000000672	NRPS	NRPS		
19-251_neg_A_c2208.region001	c_000000002208	c_000000002208	NRPS-like	NRPS		
19-251_neg_A_c2460.region001	c_000000002460	c_000000002460	NRPS	NRPS		
19-251_neg_A_c2474.region001	c_000000002474	c_000000002474	NRPS	NRPS		
19-251_neg_A_c2700.region001	c_000000002700	c_000000002700	NRPS	NRPS		
19-251_neg_A_c5428.region001	c_000000005428	c_000000005428	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-251_neg_A_c5717.region001	c_000000005717	c_000000005717	NRPS-like	NRPS		
19-251_neg_A_c5773.region001	c_000000005773	c_000000005773	NRPS	NRPS		
19-251_neg_A_c747.region001	c_000000000747	c_000000000747	NRPS	NRPS		
19-282_neg_A_c1105.region001	c_000000001105	c_000000001105	NRPS	NRPS		
19-282_neg_A_c1357.region001	c_000000001357	c_000000001357	NRPS	NRPS		
19-282_neg_A_c1537.region001	c_000000001537	c_000000001537	NRPS	NRPS		
19-282_neg_A_c2049.region001	c_000000002049	c_000000002049	NRPS-like	NRPS		
19-282_neg_A_c2073.region001	c_000000002073	c_000000002073	NRPS-like	NRPS		
19-282_neg_A_c2079.region001	c_000000002079	c_000000002079	NRPS	NRPS		
19-282_neg_A_c2121.region001	c_000000002121	c_000000002121	NRPS	NRPS		
19-282_neg_A_c248.region001	c_000000000248	c_000000000248	NRPS	NRPS		
19-282_neg_A_c2527.region001	c_000000002527	c_000000002527	NRPS-like.NRPS	NRPS		
19-282_neg_A_c2571.region001	c_000000002571	c_000000002571	NRPS	NRPS		
19-282_neg_A_c2839.region001	c_000000002839	c_000000002839	NRPS	NRPS		
19-282_neg_A_c2905.region001	c_000000002905	c_000000002905	NRPS	NRPS		
19-282_neg_A_c2996.region001	c_000000002996	c_000000002996	NRPS	NRPS		
19-282_neg_A_c3008.region001	c_000000003008	c_000000003008	NRPS	NRPS		
19-282_neg_A_c3150.region001	c_000000003150	c_000000003150	NRPS	NRPS		
19-282_neg_A_c3300.region001	c_000000003300	c_000000003300	NRPS-like	NRPS		
19-282_neg_A_c3444.region001	c_000000003444	c_000000003444	NRPS	NRPS		
19-282_neg_A_c3737.region001	c_000000003737	c_000000003737	NRPS	NRPS		
19-282_neg_A_c608.region001	c_000000000608	c_000000000608	NRPS	NRPS		
19-282_neg_A_c824.region001	c_000000000824	c_000000000824	NRPS	NRPS		
19-282_neg_A_c862.region001	c_000000000862	c_000000000862	NRPS	NRPS		
19-282_neg_A_c908.region001	c_000000000908	c_000000000908	NRPS-like.NRPS	NRPS		
19-282_neg_A_c912.region001	c_000000000912	c_000000000912	NRPS	NRPS		
19-282_neg_A_c973.region001	c_000000000973	c_000000000973	NRPS	NRPS		
19-338_neg_A_c1352.region001	c_000000001352	c_000000001352	NRPS-like.T1PKS	PKS-NRP_Hybrids		
19-338_neg_A_c3302.region001	c_000000003302	c_000000003302	NRPS-like	NRPS		
19-338_neg_A_c3832.region001	c_000000003832	c_000000003832	NRPS	NRPS		
19-338_neg_A_c5166.region001	c_000000005166	c_000000005166	T1PKS.NRPS	PKS-NRP_Hybrids		
19-338_neg_A_c598.region001	c_000000000598	c_000000000598	NRPS	NRPS		
19-388_neg_A_c1213.region001	c_000000001213	c_000000001213	NRPS.microviridin	Others		
19-388_neg_A_c1527.region001	c_000000001527	c_000000001527	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-388_neg_A_c1751.region001	c_000000001751	c_000000001751	NRPS-like.NRPS	NRPS		
19-388_neg_A_c656.region001	c_000000000656	c_000000000656	T1PKS.NRPS	PKS-NRP_Hybrids		
19-41.2_neg_A_c1142.region001	c_000000001142	c_000000001142	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids		
19-41.2_neg_A_c1485.region001	c_000000001485	c_000000001485	NRPS	NRPS		
19-41.2_neg_A_c1586.region001	c_000000001586	c_000000001586	T1PKS.NRPS.hglE-KS	PKS-NRP_Hybrids		
19-41.2_neg_A_c1680.region001	c_000000001680	c_000000001680	NRPS	NRPS		
19-41.2_neg_A_c1829.region001	c_000000001829	c_000000001829	NRPS	NRPS		
19-41.2_neg_A_c498.region001	c_000000000498	c_000000000498	NRPS-like	NRPS		
19-41.2_neg_A_c713.region001	c_000000000713	c_000000000713	NRPS	NRPS		
19-41.2_neg_A_c798.region001	c_000000000798	c_000000000798	NRPS-like.NRPS	NRPS		
19-4_neg_A_c10937.region001	c_000000010937	c_000000010937	T1PKS.NRPS	PKS-NRP_Hybrids		
19-4_neg_A_c10947.region001	c_000000010947	c_000000010947	NRPS	NRPS		
19-4_neg_A_c2350.region001	c_000000002350	c_000000002350	NRPS-like	NRPS		
19-4_neg_A_c3108.region001	c_000000003108	c_000000003108	betalactone.NRPS	Others		
19-4_neg_A_c3413.region001	c_000000003413	c_000000003413	NRPS	NRPS		
19-4_neg_A_c4680.region001	c_000000004680	c_000000004680	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-4_neg_A_c9712.region001	c_000000009712	c_000000009712	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids		
19-55_neg_A_c277.region001	c_000000000277	c_000000000277	NRPS-like.NRPS	NRPS		
19-55_neg_A_c538.region001	c_000000000538	c_000000000538	NRPS-like	NRPS		
19-55_neg_A_c603.region001	c_000000000603	c_000000000603	NRPS	NRPS		
19-55_neg_A_c730.region001	c_000000000730	c_000000000730	NRPS	NRPS		
19-84_neg_A_c1417.region001	c_000000001417	c_000000001417	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids		
19-84_neg_A_c150.region001	c_000000000150	c_000000000150	NRPS	NRPS		
19-84_neg_A_c326.region001	c_000000000326	c_000000000326	NRPS	NRPS		
19-84_neg_A_c783.region001	c_000000000783	c_000000000783	NRPS-like	NRPS		
19-84_neg_A_c933.region001	c_000000000933	c_000000000933	NRPS	NRPS		
19-8_neg_A_c9506.region001	c_000000009506	c_000000009506	NRPS-like.T3PKS.T1PKS	PKS-NRP_Hybrids		
19-98_neg_A_c2127.region001	c_000000002127	c_000000002127	NRPS-like.NRPS	NRPS		
19-98_neg_A_c2675.region001	c_000000002675	c_000000002675	NRPS-like.microviridin	Others		
19-98_neg_A_c3925.region001	c_000000003925	c_000000003925	NRPS	NRPS		
19-98_neg_A_c990.region001	c_000000000990	c_000000000990	NRPS	NRPS		
BGC0000014.1	BGC0000014.1	Polyangium cellulosum strain So ce10 histidine kinase response regulator gene, partial cds; hypothetical protein genes, complete cds; ambruticin gene cluster, complete sequence; and hypothetical protein genes, complete cds	NRPS-like.T1PKS	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000020.1	BGC0000020.1	Actinosynnema pretiosum subsp. auranticum maytansinoid antitumor agent ansamitocin biosynthetic gene cluster I, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. auranticum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000034.1	BGC0000034.1	Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. FR-008	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000061.1	BGC0000061.1	Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. FR-008	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000062.1	BGC0000062.1	Gibberella moniliformis fumonisin biosynthetic gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Fusarium verticillioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000063.1	BGC0000063.1	Fusarium oxysporum strain FRC O-1890 fumonisin biosynthetic gene cluster, complete sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Fusarium oxysporum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum species complex
BGC0000064.1	BGC0000064.1	Gibberella fujikuroi FUSS (fusA) gene, complete cds	T1PKS.NRPS	PKS-NRP_Hybrids	Fusarium verticillioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000066.1	BGC0000066.1	Streptomyces hygroscopicus strain NRRL 3602 geldanamycin biosynthesis gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000067.1	BGC0000067.1	Streptomyces hygroscopicus subsp. duamyceticus strain JCM4427 geldanamycin biosynthesis gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus subsp. duamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000074.1	BGC0000074.1	Streptomyces hygroscopicus strain AM 3672 herbimycin polyketide biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000075.1	BGC0000075.1	Streptomyces sp. LZ35 hygrocin biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000081.1	BGC0000081.1	Streptoalloteichus sp. ATCC 53650 kedarcidin biosynthetic gene cluster, complete sequence	T1PKS.arylpolyene.NRPS	Others	Streptoalloteichus sp. ATCC 53650	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus
BGC0000090.1	BGC0000090.1	Actinosynnema pretiosum subsp. pretiosum strain ATCC 31280 macbecin biosynthesis gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. pretiosum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000091.1	BGC0000091.1	Streptomyces sp. CNQ-617 marineosin biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. CNQ-617	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000106.1	BGC0000106.1	Streptomyces sp. CS naphthomycin biosynthetic gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. CS	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000108.1	BGC0000108.1	Streptomyces chattanoogensis strain L10 natamycin biosynthetic gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces chattanoogensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000122.1	BGC0000122.1	Nannocystis pusilla strain B150 phenylnannolone gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Nannocystis pusilla	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,Nannocystaceae,Nannocystis
BGC0000125.1	BGC0000125.1	Streptomyces natalensis pimaricin biosynthetic gene cluster	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces natalensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000136.1	BGC0000136.1	Amycolatopsis mediterranei rifamycin biosynthetic gene cluster	NRPS-like.T1PKS	PKS-NRP_Hybrids	Amycolatopsis mediterranei S699	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000137.1	BGC0000137.1	Salinispora arenicola CNS-205, complete genome	NRPS-like.T1PKS	PKS-NRP_Hybrids	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000138.1	BGC0000138.1	Streptomyces diastaticus polyketide rim gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces diastaticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000141.1	BGC0000141.1	Streptomyces achromogenes subsp. rubradiris complete rubradirin gene cluster, strain NRRL 3061	NRPS-like.T1PKS.NRPS.aminocoumarin	Others	Streptomyces achromogenes subsp. rubradiris	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000144.1	BGC0000144.1	Streptomyces albus strain XM211 polyether ionophore salinomycin biosynthetic gene cluster, complete sequence and flanking region	butyrolactone.T1PKS.NRPS	Others	Streptomyces albus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000145.1	BGC0000145.1	Salinispora tropica strain CNB-476 salinosporamide A biosynthetic gene cluster, partial sequence	T1PKS.NRPS	PKS-NRP_Hybrids	Salinispora tropica	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000150.1	BGC0000150.1	Salinispora tropica CNB-440, complete genome	T1PKS.NRPS	PKS-NRP_Hybrids	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000175.1	BGC0000175.1	Streptomyces sp. YIM 56141 hypothetical protein genes, complete cds; cycloheximide biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	lanthipeptide.NRPS-like.transAT-PKS	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000178.1	BGC0000178.1	Chitinophaga sancti major facilitator superfamily protein gene, complete cds; and biosynthesis gene cluster, complete sequence	transAT-PKS.T3PKS.PKS-like.transAT-PKS-like.NRPS-like	PKS-NRP_Hybrids	Chitinophaga sancti	Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
BGC0000180.1	BGC0000180.1	Legionella parisiensis strain ATCC 35299 lgl gene cluster, complete sequence	NRPS-like.transAT-PKS-like	PKS-NRP_Hybrids	Legionella parisiensis	Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BGC0000186.1	BGC0000186.1	Burkholderia thailandensis E264 chromosome II, complete sequence	transAT-PKS.PKS-like.transAT-PKS-like.NRPS	PKS-NRP_Hybrids	Burkholderia thailandensis E264	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei group
BGC0000257.1	BGC0000257.1	Streptomyces griseoviridis DNA, includes prodigiosin biosynthetic gene cluster, strain: 2464-S5	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces griseoviridis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000287.1	BGC0000287.1	Pseudomonas aeruginosa PAO1, complete genome	NRPS	NRPS	Pseudomonas aeruginosa PAO1	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000288.1	BGC0000288.1	Streptomyces sp. SANK 62799 DNA, A-503083 biosynthetic gene cluster region, complete cds	NRPS.blactam	Others	Streptomyces sp. SANK 62799	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000289.1	BGC0000289.1	Actinomadura sp. ATCC 39727 gene cluster for biosynthesis of glycopeptide antibiotic A40926, strain ATCC 39727	NRPS.T3PKS	PKS-NRP_Hybrids	Nonomuraea gerenzanensis	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
BGC0000290.1	BGC0000290.1	Streptomyces toyocaensis strain NRRL 15009 biosynthetic gene cluster A47934, complete sequence	NRPS.T3PKS	PKS-NRP_Hybrids	Streptomyces toyocaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000291.1	BGC0000291.1	Streptomyces fradiae strain NRRL18158 lipopeptide antibiotic A54145 biosynthetic gene cluster, complete sequence	NRPS	NRPS	Streptomyces fradiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000292.1	BGC0000292.1	Aspergillus terreus NIH2624 scaffold_4 genomic scaffold, whole genome shotgun sequence	NRPS	NRPS	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000293.1	BGC0000293.1	Neosartorya fischeri NRRL 181 1099437636266 genomic scaffold, whole genome shotgun sequence	indole.NRPS	Others	Aspergillus fischeri NRRL 181	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000294.1	BGC0000294.1	Acinetobacter baumannii genes involved in acinetobactin biosynthesis and ferric complex transport, complete cds	NRPS	NRPS	Acinetobacter baumannii	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex
BGC0000296.1	BGC0000296.1	Streptomyces anulatus actinomycin biosynthetic gene cluster, partial sequence	NRPS	NRPS	Streptomyces anulatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000297.1	BGC0000297.1	Planktothrix agardhii NIVA-CYA 126 aeruginoside biosynthesis gene cluster	NRPS	NRPS	Planktothrix agardhii NIVA-CYA 126	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000298.1	BGC0000298.1	Microcystis aeruginosa NIES-98 aeruginosin synthetase gene cluster, complete sequence	NRPS	NRPS	Microcystis aeruginosa NIES-98	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000299.1	BGC0000299.1	Alterochromides biosynthetic gene cluster	NRPS.ladderane	Others	.	
BGC0000300.1	BGC0000300.1	Streptomyces sp. AA4 genomic scaffold supercont1.1, whole genome shotgun sequence	NRPS	NRPS	Streptomyces sp. AA4	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000301.1	BGC0000301.1	Planktothrix agardhii NIVA-CYA 126/8 anabaenopeptin biosynthesis gene cluster, complete sequence	NRPS	NRPS	Planktothrix agardhii NIVA-CYA 126/8	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix
BGC0000302.1	BGC0000302.1	Anabaena sp. 90 anabaenopeptin biosynthesis gene cluster, complete sequence	betalactone.NRPS	Others	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena
BGC0000303.1	BGC0000303.1	Streptomyces refuineus subsp. thermotolerans anthramycin biosynthetic gene cluster, partial sequence	NRPS	NRPS	Streptomyces refuineus subsp. thermotolerans	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000304.1	BGC0000304.1	Fusarium incarnatum apicidin biosynthetic gene cluster, complete sequence	NRPS	NRPS	Fusarium incarnatum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium incarnatum-equiseti species complex
BGC0000305.1	BGC0000305.1	Pseudomonas sp. MIS38 orf1, arfA, arfB, arfC, orf5, orf6 genes for putative DNA binding protein, arthrofactin synthetase A, arthrofactin synthetase B, arthrofactin synthetase C, putative periplasmic protein, putative ABC transporter protein, complete and partial cds	NRPS	NRPS	Pseudomonas sp. MIS38	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000306.1	BGC0000306.1	Streptomyces filamentosus NRRL 11379 supercont4.1, whole genome shotgun sequence	NRPS	NRPS	Streptomyces filamentosus NRRL 11379	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000307.1	BGC0000307.1	Aureobasidium pullulans strain BP-1938 aureobasidin A1 biosynthesis complex (aba1) gene, complete cds	NRPS	NRPS	Aureobasidium pullulans	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium
BGC0000308.1	BGC0000308.1	Staphylococcus aureus subsp. aureus str. JKD6008, complete genome	NRPS	NRPS	Staphylococcus aureus subsp. aureus str. JKD6008	Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
BGC0000309.1	BGC0000309.1	Bacillus subtilis subsp. subtilis str. 168 complete genome	NRPS	NRPS	Bacillus subtilis subsp. subtilis str. 168	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
