BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000001.1	BGC0000001.1	Verrucosispora maris AB-18-032 protein methyltransferase (orfP), putative hydrolase, pathway-specific SARP activator (abyR), cytochrome P450 (abyX), LuxR family transcriptional regulator (abyH), pathway-specific SARP activator (abyI), YD repeat protein (abyK), 3-oxoacyl-ACP synthase III (abyA1), phosphatase and glyceryl transferase (abyA2), acyl-carrier protein (abyA3), pyruvate/2-oxoglutarate dehydrogenase (abyA4), AbyA5 (abyA5), type 1 polyketide synthase (abyB1), type 1 polyketide synthase (abyB2), type 1 polyketide synthase (abyB3), TetR regulatory protein (abyC), EmrB/QacA drug resistance transporter (abyD), luciferase/monooxygenase (abyE), BC transporter oligopeptide binding protein (abyF1), ABC transporter oligopeptide permease (abyF2), binding-protein dependent ABC transporter (abyF3), ATP-binding ABC peptide transporter (abyF4), cytochrome P450 (abyV), alcohol dehydrogenase (abyW), NAD(P)H-depedent FMN-reductase (abyZ), type II thioesterase (abyT), Zn-dependent alcohol dehydrogenase (orfU), and TetR transcriptional regulator (orfS) genes, complete cds	T1PKS	PKSI	Verrucosispora maris AB-18-032	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora
BGC0000002.1	BGC0000002.1	Kutzneria albida DSM 43870, complete genome	T1PKS.oligosaccharide	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria
BGC0000003.1	BGC0000003.1	Alternaria alternata AF-toxin biosynthesis gene cluster (Aft9-1, Aft10-1, Aft11-1, Aft12-1, AftR-2, Aft3-2), complete cds	T1PKS	PKSI	Alternaria alternata	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria alternata group
BGC0000004.1	BGC0000004.1	Aspergillus oryzae DNA, aflatoxin biosynthesis gene cluster, complete sequence, strain: RIB40	T1PKS	PKSI	Aspergillus oryzae	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000006.1	BGC0000006.1	Aspergillus flavus isolate AF13 aflatoxin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000007.1	BGC0000007.1	Aspergillus flavus isolate BN008 aflatoxin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000008.1	BGC0000008.1	Aspergillus flavus isolate AF70 aflatoxin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000009.1	BGC0000009.1	Aspergillus nomius isolate AN13137 aflatoxin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Aspergillus nomius	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000011.1	BGC0000011.1	Aspergillus ochraceoroseus strain SRRC 1432 aflatoxin/sterigmatocystin gene cluster, complete sequence	T1PKS	PKSI	Aspergillus ochraceoroseus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000012.1	BGC0000012.1	Alternaria solani alt1, alt2, alt3, alt4, alt5 genes for cytochrome P-450, cytochrome, P-450, cytochrome P-450, FAD/FMN-dependent oxygenase/oxidase, polyketide synthase, complete cds	T1PKS	PKSI	Alternaria solani	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria
BGC0000013.1	BGC0000013.1	TPA_asm: Aspergillus nidulans FGSC A4 chromosome IV	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000017.1	BGC0000017.1	Oscillatoria sp. PCC 6506 anatoxin-a and homoanatoxin-a biosynthetic gene cluster, complete sequence	T1PKS	PKSI	[Oscillatoria] sp. PCC 6506	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Kamptonema
BGC0000018.1	BGC0000018.1	Streptomyces eurythermus strain ATCC 23956 anglomycin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Streptomyces eurythermus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000021.1	BGC0000021.1	Nocardiopsis sp. FU40 apoptolidin gene cluster, complete sequence	T1PKS	PKSI	Nocardiopsis sp. FU 40	Bacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis
BGC0000022.1	BGC0000022.1	Aspergillus nidulans FGSC A4 chromosome VIII ANcontig1.15, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000023.1	BGC0000023.1	Stigmatella aurantiaca aurafuron biosynthetic gene cluster, strain DW4/3-1	T1PKS	PKSI	Stigmatella aurantiaca DW4/3-1	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella
BGC0000024.1	BGC0000024.1	Streptomyces thioluteus aureothin biosynthesis gene cluster (aurABCDEFGHI genes), strain HKI-22	T1PKS	PKSI	Streptomyces thioluteus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000026.1	BGC0000026.1	Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence	T1PKS.PKS-like.oligosaccharide	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000027.1	BGC0000027.1	Monascus pilosus pigment biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Monascus pilosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Monascus
BGC0000028.1	BGC0000028.1	Streptomyces lohii strain ATCC BAA-1276 bafilomycin biosynthetic gene cluster, complete sequence; and putative LuxR-like protein, putative malonyl transferase, and putative CoA ligase genes, complete cds	T1PKS	PKSI	Streptomyces lohii	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000029.1	BGC0000029.1	Streptomyces sp. DSM 21069 putative secreted metal-binding protein, putative lipoprotein, and hypothetical protein genes, complete cds; BE-14106 biosynthetic gene cluster, complete sequence; putative tripeptidylaminopeptidase and putative urease accessory proteins genes, complete cds; and putative urease accessory protein gene, partial cds	T1PKS	PKSI	Streptomyces sp. DSM 21069	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000030.1	BGC0000030.1	Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr05	T1PKS	PKSI	Fusarium fujikuroi IMI 58289	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000031.1	BGC0000031.1	Streptomyces parvulus Tu4055 cluster for borrelidin biosynthesis	T1PKS	PKSI	Streptomyces parvulus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000032.1	BGC0000032.1	Streptomyces chartreusis pyrrole polyether antibiotic calcimycin (A23187) biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Streptomyces chartreusis NRRL 3882	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000033.1	BGC0000033.1	Micromonospora echinospora calicheamicin biosynthetic locus, complete sequence	T1PKS.PKS-like.oligosaccharide	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000035.1	BGC0000035.1	Streptomyces bikiniensis strain NRRL 2737 chalcomycin biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Streptomyces bikiniensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000037.1	BGC0000037.1	TPA_asm: Aspergillus nidulans FGSC A4 chromosome I	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000038.1	BGC0000038.1	Streptomyces coelicolor A3(2) complete genome	butyrolactone.T1PKS	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000039.1	BGC0000039.1	Penicillium citrinum ML-236B (compactin) biosynthetic gene cluster (mlcH, mlcG, mlcF, mlcA, mlcC, mlcB, mlcD, mlcE, mlcR), complete cds	T1PKS	PKSI	Penicillium citrinum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000040.1	BGC0000040.1	Streptomyces neyagawaensis concanamycin A biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces neyagawaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000041.1	BGC0000041.1	Pseudomonas syringae coronafacic acid biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Pseudomonas syringae	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000042.1	BGC0000042.1	Streptomyces sp. MJ635-86F5 DNA, cremimycin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. MJ635-86F5	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000043.1	BGC0000043.1	Moorea producens 19L curacin A biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Moorea producens 19L	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Moorea
BGC0000044.1	BGC0000044.1	Stigmatella aurantiaca DW4/3-1, complete genome	T1PKS	PKSI	Stigmatella aurantiaca DW4/3-1	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella
BGC0000045.1	BGC0000045.1	Aspergillus terreus strain AH-02-30-F7 dehydrocurvularin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Aspergillus terreus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000046.1	BGC0000046.1	Alternaria brassicicola strain MUCL 202097 depudecin gene cluster, complete sequence	T1PKS	PKSI	Alternaria brassicicola	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria
BGC0000047.1	BGC0000047.1	Streptomyces sp. KCTC 0041BP dihydrochalcomyin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. KCTC 0041BP	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000048.1	BGC0000048.1	Mycosphaerella pini hypothetical protein (DS34) gene, partial cds; hypothetical protein (DS33), putative methionine permease (DS32), putative translation elongation factor (DS31), hypothetical protein (DS30), hypothetical protein (DS29), putative MFS multidrug transporter (DS28), hypothetical protein (DS27), hypothetical protein (DS26), putative amino acid permease (DS25), putative flavin-binding monooxygenase (moxA), epoxide hydrolase (epoA), averufin oxidase (avfA), cytochrome P450 monooxygenase (cypA), polyketide synthase (pksA), hypothetical protein (DS19), hypothetical protein (DS18), hypothetical protein (DS17), and hypothetical protein (DS16) genes, complete cds; and hypothetical protein (DS15) gene, partial cds	T1PKS	PKSI	Dothistroma septosporum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Capnodiales,Mycosphaerellaceae,Dothistroma
BGC0000050.1	BGC0000050.1	Streptomyces aculeolatus A gene locus, complete sequence	T1PKS	PKSI	Streptomyces aculeolatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000051.1	BGC0000051.1	UNVERIFIED: Streptomyces aburaviensis ebelactone gene cluster, complete sequence	T1PKS	PKSI	Kitasatospora aburaviensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
BGC0000052.1	BGC0000052.1	Streptomyces aizunensis strain NRRL B-11277 glycosyltransferase, polyketide synthase type Is, acyl transferase, membrane protein, ABC transporter, sugar dehydratase/epimerase, sugar epimerase, sugar nucleotidyltransferase, sugar dehydratase/epimerase, thioesterase, acyl CoA ligase, amine oxidase, phosphopantetheinyl transferase, transcriptional regulator, carboxylase/carboxyltransferase, amidinohydrolase, amide synthetase, 5-aminolevulinate synthase, and acyl CoA ligase genes, complete cds; and unknown gene	T1PKS	PKSI	Streptomyces aizunensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000053.1	BGC0000053.1	Sequence 49 from patent US 7595187	T1PKS	PKSI	Unknown. Unclassified.	
BGC0000054.1	BGC0000054.1	Aeromicrobium erythreum putative transcriptional repressor and putative dehydrogenase/reductase genes, complete cds; erythromycin biosynthesis gene cluster, complete sequence; putative oxidoreductase and LipN genes, complete cds; monoamine oxidase gene, partial cds; and unknown gene	T1PKS	PKSI	Aeromicrobium erythreum	Bacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium
BGC0000055.1	BGC0000055.1	Saccharopolyspora erythraea NRRL2338 complete genome	T1PKS	PKSI	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
BGC0000056.1	BGC0000056.1	Actinomadura verrucosospora strain ATCC 39334 esperamicin enediyne iterative type I polyketide synthase gene locus, partial sequence	T1PKS	PKSI	Actinomadura verrucosospora	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000057.1	BGC0000057.1	Aspergillus nidulans FGSC A4 chromosome II ANcontig1.135, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000058.1	BGC0000058.1	Streptomyces graminofaciens DNA, FD-891 producer gene cluster	T1PKS	PKSI	Streptomyces graminofaciens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000059.1	BGC0000059.1	Streptomyces avermitilis MA-4680 = NBRC 14893 DNA, complete genome	T1PKS	PKSI	Streptomyces avermitilis MA-4680 = NBRC 14893	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000060.1	BGC0000060.1	Streptomyces pulveraceus strain ATCC 31906 fostriecin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces pulveraceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000068.1	BGC0000068.1	Streptomyces hygroscopicus strain 17997 geldanamycin biosynthesis gene cluster, partial sequence	T1PKS	PKSI	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000069.1	BGC0000069.1	Cystobacter violaceus strain Cb vi76 gephyronic acid biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Archangium violaceum Cb vi76	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Archangium
BGC0000070.1	BGC0000070.1	Penicillium aethiopicum strain IBT 5753 griseofulvin biosynthetic gene cluster, complete sequence; and unknown genes	T1PKS	PKSI	Penicillium aethiopicum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000072.1	BGC0000072.1	Pyxidicoccus fallax strain DSM 28991 gulmirecin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Pyxidicoccus fallax	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Pyxidicoccus
BGC0000073.1	BGC0000073.1	Streptomyces halstedii halstoctacosanolide biosynthetic gene cluster (hlsA, hlsB, hlsC, hlsD, hlsE, hlsF, hlsG, hlsH, hlsI), complete cds	T1PKS	PKSI	Streptomyces halstedii	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000076.1	BGC0000076.1	Hypomyces subiculosus strain DSM11931 hypothemycin gene cluster, partial sequence	T1PKS	PKSI	Hypomyces subiculosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Hypomyces
BGC0000077.1	BGC0000077.1	Hypomyces subiculosus strain DSM11932 hypothemycin gene cluster, complete sequence; and oxidoreductase gene, complete cds	T1PKS	PKSI	Hypomyces subiculosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Hypomyces
BGC0000078.1	BGC0000078.1	Streptomyces sp. ML694-90F3 DNA, incednine biosynthetic gene cluster	T1PKS.oligosaccharide	Others	Streptomyces sp. ML694-90F3	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000079.1	BGC0000079.1	Streptomyces antibioticus strain NRRL8167 indanomycin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces antibioticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000080.1	BGC0000080.1	Polyangium cellulosum strain So ce307 conserved hypothetical protein gene, partial cds; and jerangolid gene cluster, partial sequence	T1PKS	PKSI	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000081.1	BGC0000081.1	Streptoalloteichus sp. ATCC 53650 kedarcidin biosynthetic gene cluster, complete sequence	T1PKS.arylpolyene.NRPS	Others	Streptoalloteichus sp. ATCC 53650	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus
BGC0000082.1	BGC0000082.1	Actinomadura kijaniata fructokinase gene, partial cds; kijanimicin gene cluster, complete sequence; and D-ala, D-ala carboxypeptidase, conserved hypothetical protein, permease, and selenium binding protein genes, complete cds	T1PKS.oligosaccharide	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000084.1	BGC0000084.1	Streptomyces sp. CS684 hypothetical protein, putative cytochrome c oxidase, putative histidine kinase sensor, and putative magnesium/manganese-dependent protein phosphatase genes, complete cds; laidlomycin biosynthetic gene cluster, complete sequence; putative membrane protein, putative major facilitator superfamily transporter, putative succinic semialdehyde dehydrogenase, hypothetical proteins, putative dihydroxyacetone kinase, and putative peptide transporter (ATP-binding subunit) genes, complete cds; and peptide transporter (peptide-binding subunit) gene, partial cds	T1PKS	PKSI	Streptomyces sp. CS684	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000085.1	BGC0000085.1	Streptomyces rochei plasmid pSLA2-L DNA, complete sequence	T1PKS	PKSI	Streptomyces rochei	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000086.1	BGC0000086.1	Streptomyces lasaliensis plasmid pKSL polyether antibiotic lasalocid biosynthesis gene cluster, partial sequence	T1PKS	PKSI	Streptomyces lasaliensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000087.1	BGC0000087.1	Streptomyces lasaliensis lasalocid biosynthetic gene cluster, strain NRRL 3382R	T1PKS	PKSI	Streptomyces lasaliensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000088.1	BGC0000088.1	Aspergillus terreus strain ATCC 20542 esterase, cytochrome P450 monooxygenase (lovA), enoyl reductase (lovC), transesterase (lovD), hydroxymethylglutaryl-coenzyme A reductase, regulatory protein (lovE), polyketide synthase (lovF), regulatory protein, and cytochrome P450 monooxygenase genes, complete cds; and unknown genes	T1PKS	PKSI	Aspergillus terreus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000092.1	BGC0000092.1	Micromonospora megalomicea subsp. nigra megalomicin biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Micromonospora megalomicea subsp. nigra	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000093.1	BGC0000093.1	Streptomyces nanchangensis strain NS3226 meilingmycin biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Streptomyces nanchangensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000094.1	BGC0000094.1	Streptomyces venezuelae methymycin/pikromycin polyketide synthase gene cluster, complete sequence	T1PKS	PKSI	Streptomyces venezuelae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000096.1	BGC0000096.1	Midecamycin biosynthetic gene cluster	T1PKS	PKSI	Streptomyces mycarofaciens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000097.1	BGC0000097.1	Streptomyces sp. MP39-85 putative lipoprotein and hypothetical protein genes, complete cds; and ML-449 biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. MP39-85	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000098.1	BGC0000098.1	Monascus pilosus monacolin K biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Monascus pilosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Monascus
BGC0000099.1	BGC0000099.1	Penicillium marneffei strain PM1 putative polyketide synthase PKS3 gene, complete cds	T1PKS	PKSI	Talaromyces marneffei	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Trichocomaceae,Talaromyces
BGC0000100.1	BGC0000100.1	Streptomyces cinnamonensis polyether antibiotic monensin biosynthesis gene cluster, partial sequence	T1PKS	PKSI	Streptomyces cinnamonensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000102.1	BGC0000102.1	Micromonospora griseorubida gene cluster for the polyketide macrolide mycinamicin, partial and comeplete cds	T1PKS	PKSI	Micromonospora griseorubida	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000103.1	BGC0000103.1	Mycobacterium ulcerans plasmid pMUM001, complete plasmid genome	T1PKS	PKSI	Mycobacterium ulcerans Agy99	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
BGC0000104.1	BGC0000104.1	Penicillium brevicompactum mycophenolic acid biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Penicillium brevicompactum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000105.1	BGC0000105.1	Streptomyces nanchangensis NS3226 polyether ionophore nanchangmycin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces nanchangensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000107.1	BGC0000107.1	TPA_asm: Aspergillus nidulans FGSC A4 chromosome II	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000109.1	BGC0000109.1	Streptomyces cyaneogriseus subsp. noncyanogenus gene cluster (nemR, nemG, nemF, nemA1-1, nemA1-2, nemA2, nemC, nemD, nemE, nemA3, nemA4, orf1), complete cds	T1PKS	PKSI	Streptomyces cyaneogriseus subsp. noncyanogenus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
